Inf_UN Sus_UN F_GT G_GT
22.3248 0.0000 12.0505 0.0000
19.4321 0.0009 12.1145 0.1629
16.6533 0.0045 19.0287 1.0573
7.3725 0.0096 8.7076 1.0563
16.4841 0.0108 3.3800 0.6821
14.2222 0.0116 8.6405 1.8948
14.9176 0.0139 10.1038 2.1487
11.4881 0.0282 1.3365 2.4247
13.2579 0.0199 6.4429 2.5378
7.6239 0.0154 15.5542 2.2007
8.1104 0.0135 7.9081 1.6639
4.5679 0.0197 5.0812 1.4755
8.3301 0.0193 7.9471 3.3258
6.1477 0.0106 16.8128 1.1161
7.2584 0.0104 9.7820 0.8179
4.8114 0.0178 22.2009 3.5627
9.1828 0.0006 4.1502 0.0212
11.2905 0.0360 6.3325 4.6781
5.0367 0.0147 11.3298 2.0394
5.6997 0.0218 6.5051 2.1636
4.9388 0.0143 17.9072 2.0949
4.5159 0.0298 1.3976 4.8878
5.0146 0.0197 24.6006 2.8591
3.9991 0.0332 16.4776 5.0774
5.4759 0.0433 8.7633 3.1030
0.0000 0.0264 0.0000 1.0338
4.6706 0.0251 7.4293 2.6396
5.0534 0.0202 4.0419 1.9995
2.3074 0.0023 3.1075 0.0710
3.2733 0.0313 11.2641 2.5587
3.5396 0.0140 11.6039 0.8029
2.7634 0.0600 0.4707 1.5066
3.7907 0.0809 1.3020 3.9426
4.3116 0.0765 4.2288 8.6842
0.0000 0.0104 0.0000 0.2030
0.0000 0.0126 0.0000 0.2457
0.0000 0.0486 0.0000 0.9453
3.2491 0.0441 9.7864 3.3251
3.3107 0.0225 8.3768 1.9981
3.5555 0.0204 13.1666 1.2206
4.3004 0.0246 23.6646 2.6961
2.3290 0.0270 22.3200 2.2679
3.1292 0.0370 3.0484 1.5123
2.0319 0.0290 6.8900 1.1770
2.5951 0.0510 10.9428 3.8594
3.5636 0.0547 14.7469 4.9083
1.4900 0.0581 0.9768 2.0221
1.2055 0.0797 1.2094 2.2362
2.2696 0.0294 15.6031 2.1425
3.2942 0.0421 10.7862 2.9114
1.7511 0.0462 6.3924 2.1758
1.9831 0.0398 13.1355 2.6871
9.0713 0.0238 0.9420 0.4420
2.3465 0.0506 8.9646 3.7397
3.0666 0.0480 5.3357 2.2581
2.6107 0.0454 13.2640 3.0913
2.5523 0.0316 12.0869 1.4353
2.8628 0.0425 13.3511 2.4994
2.9858 0.0674 6.4146 2.7264
0.5832 0.1174 0.2104 1.6197
2.2828 0.0286 4.4016 0.5216
2.8059 0.0598 8.8252 3.4343
1.4122 0.0573 2.8382 1.0502
2.7159 0.0524 5.4267 1.9582
2.8393 0.0693 9.0127 1.6152
2.4184 0.0677 4.3213 2.1374
1.8132 0.0553 5.3162 1.1729
1.5534 0.0729 4.1854 1.9937
1.7702 0.0881 10.7773 4.3092
3.0936 0.0591 8.9577 3.0829
2.0060 0.1089 3.7136 2.9360
1.9039 0.0983 13.9834 5.4956
1.8378 0.0240 8.8776 0.9986
2.3113 0.0183 10.0391 0.7300
1.8880 0.0247 5.0017 0.6522
2.8447 0.0340 18.9209 3.3596
1.7468 0.0353 2.1384 1.0308
4.0555 0.0093 4.2892 0.3269
3.3344 0.0275 4.6420 0.8859
2.7324 0.0366 10.5865 2.0067
2.2565 0.0575 9.8429 2.9101
2.8604 0.0419 9.8818 1.8261
2.0164 0.0328 2.0069 0.6295
3.2129 0.0374 5.2670 1.5877
2.5695 0.0133 10.5729 0.5092
2.2675 0.0489 3.4939 1.5721
1.5027 0.0551 0.7829 1.2983
3.0618 0.0003 6.9670 0.0073
1.7394 0.0673 3.6528 1.4179
1.0283 0.0763 5.9506 2.6000
3.0297 0.0424 6.5174 1.0887
2.5763 0.0612 5.3162 1.6252
1.1962 0.0368 7.3579 1.2398
2.2045 0.0417 9.9328 1.9574
0.8394 0.0455 0.8796 1.0323
2.3859 0.0188 3.1076 0.3511
0.0000 0.0398 0.0000 0.7938
1.8056 0.0152 1.8040 0.2743
2.1784 0.0076 1.4044 0.1542
0.6835 0.0250 0.2615 0.4516
1.7877 0.0415 3.8795 1.1126
1.9577 0.0067 0.6472 0.0912
1.6167 0.0672 1.4704 1.6417
3.7358 0.0557 6.8190 2.3402
2.4969 0.0571 28.7586 6.6293
