i j Omegaij  Pij
0 1 0.004146 0.003384
0 2 0.071725 0.072079
0 3 0.513549 0.513729
0 4 0.280050 0.277691
0 5 0.515091 0.515747
0 6 0.332969 0.333277
0 7 0.541990 0.546608
0 8 0.148027 0.148759
0 9 0.018905 0.018543
0 10 0.505556 0.504458
0 11 0.180614 0.181864
0 12 0.062753 0.062829
0 13 0.464809 0.464239
0 14 0.541277 0.544818
0 15 0.446418 0.444366
0 16 0.536169 0.538808
0 17 0.367711 0.367706
0 18 0.248242 0.246026
0 19 0.315755 0.316025
0 20 0.111410 0.111133
0 21 0.534378 0.533642
0 22 0.334577 0.332647
0 23 0.030730 0.030456
0 24 0.085920 0.083334
0 25 0.432222 0.434182
0 26 0.576866 0.572027
0 27 0.582023 0.583851
0 28 0.572272 0.571833
0 29 0.528557 0.525102
0 30 0.518839 0.512456
1 0 0.080874 0.081833
1 17 0.168306 0.155832
1 31 0.015301 0.014557
1 12 0.025865 0.026626
1 15 0.199636 0.188320
1 9 0.006193 0.007858
1 23 0.012750 0.012907
1 32 0.237523 0.244565
1 33 0.087796 0.083786
1 21 0.224772 0.226154
1 34 0.040073 0.035449
1 2 0.028780 0.030547
1 8 0.065574 0.063043
1 19 0.125683 0.133929
1 35 0.087796 0.086809
1 6 0.146812 0.141241
1 5 0.222587 0.218571
1 7 0.226958 0.231649
1 36 0.205829 0.213533
1 10 0.189071 0.213786
1 3 0.218215 0.217715
1 37 0.118397 0.113198
1 18 0.097268 0.104264
2 0 0.015959 0.015776
2 1 0.001046 0.000276
2 38 0.050759 0.049162
2 20 0.010791 0.009080
2 39 0.051922 0.052894
2 12 0.005977 0.005133
2 6 0.028368 0.027230
2 7 0.044742 0.044659
2 33 0.017538 0.016153
2 27 0.047839 0.047702
2 22 0.027559 0.027178
2 40 0.013099 0.013292
2 41 0.030321 0.029122
2 42 0.031307 0.031710
2 8 0.014066 0.012154
2 10 0.042453 0.041216
2 3 0.040836 0.041973
2 17 0.030282 0.030043
2 18 0.019925 0.020101
2 43 0.005563 0.005889
2 15 0.037245 0.036306
2 44 0.031524 0.032097
2 45 0.002880 0.002269
2 5 0.043065 0.042138
2 19 0.026198 0.025820
2 26 0.048016 0.046736
2 21 0.041546 0.043600
2 46 0.031820 0.030193
2 47 0.020635 0.020847
2 48 0.011738 0.011292
2 49 0.016670 0.015289
2 11 0.015486 0.014859
2 50 0.031662 0.030472
2 51 0.025527 0.025447
2 52 0.024876 0.023044
2 53 0.033793 0.033498
2 54 0.050719 0.052456
2 55 0.009193 0.009834
3 0 0.090973 0.088225
3 1 0.002209 0.001546
3 2 0.034089 0.032933
3 56 0.094514 0.093660
3 57 0.278183 0.275278
3 58 0.162395 0.159507
3 59 0.223838 0.221523
3 45 0.013050 0.012689
3 60 0.241274 0.237983
3 61 0.258397 0.257091
3 62 0.067960 0.066754
3 63 0.206887 0.204494
3 64 0.215174 0.212044
3 65 0.139992 0.139569
3 66 0.299505 0.300925
3 10 0.230480 0.230487
3 67 0.195811 0.193934
3 68 0.290074 0.290656
3 69 0.095595 0.094886
3 70 0.210051 0.210568
3 21 0.241697 0.243821
3 71 0.245535 0.245343
4 0 0.054711 0.054032
4 5 0.145371 0.144316
4 72 0.123143 0.123808
4 73 0.083498 0.081240
4 12 0.018956 0.017581
4 74 0.155768 0.154847
4 75 0.028310 0.028497
4 76 0.131879 0.132079
4 77 0.098759 0.098085
4 78 0.031599 0.032758
5 0 0.083943 0.083252
5 1 0.002088 0.001459
5 2 0.031534 0.031077
5 4 0.118678 0.119725
5 6 0.145236 0.143691
5 27 0.252472 0.251725
5 12 0.028065 0.027088
5 33 0.085654 0.085239
5 79 0.020232 0.018547
5 80 0.101585 0.102912
5 15 0.190629 0.191587
5 17 0.159739 0.158535
5 81 0.276785 0.274570
5 26 0.246382 0.246627
5 82 0.008664 0.008551
5 7 0.237200 0.235668
5 83 0.009575 0.009978
5 84 0.111348 0.110901
5 85 0.264417 0.267900
5 86 0.089939 0.088902
5 21 0.235834 0.230078
6 0 0.098190 0.093480
6 1 0.001834 0.001638
6 2 0.035760 0.034894
6 5 0.247380 0.249679
6 87 0.250447 0.251259
6 88 0.201201 0.200371
6 21 0.261149 0.258342
6 18 0.118931 0.119104
6 89 0.112861 0.110771
6 15 0.218829 0.215123
6 90 0.276358 0.278153
6 91 0.053846 0.053905
6 92 0.122330 0.119515
6 93 0.060169 0.058917
6 27 0.286064 0.282649
6 12 0.029990 0.030416
6 94 0.299660 0.298806
6 95 0.097652 0.097891
6 96 0.040645 0.040219
6 97 0.130440 0.129441
6 98 0.180998 0.180159
6 99 0.178784 0.180075
6 9 0.009343 0.008977
6 75 0.051348 0.049302
6 14 0.264532 0.263753
6 8 0.072627 0.072016
7 0 0.212659 0.210871
7 1 0.004024 0.003695
7 2 0.079448 0.078714
7 5 0.565446 0.563225
7 100 0.350098 0.352537
7 21 0.578892 0.582767
7 101 0.592931 0.593315
7 27 0.636030 0.637599
8 0 0.275574 0.278620
8 1 0.004734 0.004882
8 2 0.103067 0.104004
8 6 0.479331 0.480890
8 21 0.769705 0.769998
8 102 0.159034 0.161229
8 12 0.089595 0.090656
8 103 0.682274 0.681289
8 40 0.236356 0.234743
8 23 0.045044 0.043945
8 20 0.159763 0.160355
8 104 0.845870 0.846395
8 15 0.641343 0.641181
8 105 0.551234 0.552439
8 106 0.457955 0.454215
8 9 0.026688 0.026756
8 29 0.763408 0.757676
9 0 0.092151 0.089407
9 1 0.002180 0.001567
9 6 0.153718 0.154314
9 8 0.070174 0.068878
9 107 0.045387 0.045304
9 108 0.259640 0.261926
9 33 0.092724 0.091541
9 109 0.254303 0.257738
9 110 0.055772 0.056756
9 111 0.078322 0.078699
9 15 0.210122 0.205751
9 112 0.132316 0.134702
9 23 0.016525 0.014102
9 69 0.098061 0.096157
9 113 0.075912 0.075299
9 114 0.222917 0.224473
9 115 0.275706 0.273746
9 29 0.242885 0.243133
9 116 0.237147 0.232080
9 117 0.280009 0.279251
9 118 0.148898 0.153976
9 119 0.044583 0.043797
9 120 0.130881 0.133163
9 121 0.118774 0.120938
9 122 0.184932 0.182323
9 123 0.207712 0.207272
9 124 0.132890 0.133801
9 125 0.032419 0.034290
9 126 0.182121 0.187977
9 127 0.140062 0.140837
9 128 0.292518 0.290807
9 129 0.059100 0.055106
10 0 0.067285 0.066008
10 1 0.001838 0.001157
10 2 0.023983 0.024640
10 3 0.176381 0.175615
10 130 0.045972 0.045671
10 72 0.154942 0.151251
10 44 0.134932 0.134294
10 131 0.053307 0.052668
10 132 0.021392 0.020344
10 133 0.158570 0.158916
10 134 0.143681 0.142430
10 21 0.184674 0.182422
10 135 0.174512 0.173938
10 19 0.107745 0.108031
10 18 0.083934 0.084102
10 17 0.124331 0.125698
10 136 0.186967 0.187603
10 137 0.076411 0.076798
10 26 0.193941 0.195544
10 24 0.028554 0.028487
11 0 0.122595 0.121518
11 2 0.045713 0.045360
11 138 0.145614 0.145900
11 139 0.247827 0.248875
11 140 0.208203 0.207647
11 141 0.395013 0.394878
11 83 0.015232 0.014564
11 142 0.062083 0.061590
11 143 0.179113 0.177319
11 144 0.214780 0.214315
11 145 0.125937 0.125694
11 146 0.221230 0.218105
11 147 0.124076 0.124418
11 148 0.107273 0.106530
11 149 0.315638 0.315836
11 150 0.310055 0.309404
11 151 0.379890 0.378341
11 152 0.280622 0.277126
12 0 0.206625 0.205059
12 1 0.004415 0.003593
12 2 0.076188 0.076545
12 4 0.296652 0.294896
12 5 0.545231 0.547701
12 6 0.349629 0.353926
12 8 0.158117 0.157976
12 153 0.471264 0.473735
12 154 0.701045 0.700750
12 155 0.442202 0.441588
12 23 0.033097 0.032343
12 156 0.174395 0.172743
12 27 0.622827 0.620025
12 21 0.564352 0.566705
12 157 0.444423 0.443854
12 15 0.473268 0.471897
12 17 0.391528 0.390488
12 158 0.202968 0.200736
12 13 0.495558 0.493002
12 68 0.678945 0.675563
12 44 0.425112 0.417193
12 105 0.405260 0.406585
12 75 0.106414 0.108150
12 152 0.468555 0.467646
12 159 0.357267 0.356952
13 0 0.109854 0.111335
13 12 0.037924 0.036226
13 14 0.315653 0.314132
13 160 0.097182 0.097577
13 161 0.144457 0.144093
13 162 0.039944 0.040114
13 163 0.215558 0.215346
13 122 0.230314 0.227039
13 32 0.333589 0.332736
13 23 0.018437 0.017560
13 164 0.322890 0.323648
13 165 0.212942 0.211569
13 33 0.115008 0.113993
