Inf_UN Sus_UN F_GT G_GT
0.6725 0.2886 10.4035 3.3811
0.2832 0.0064 2.8321 0.0633
0.0557 0.1081 1.0329 1.8178
0.3089 0.7648 3.8377 6.8428
0.1887 0.4141 0.8720 2.0854
0.2907 0.7667 2.7000 6.6708
0.3271 0.4967 3.7014 5.5527
0.7334 0.8093 3.0195 1.9046
0.9683 0.2233 6.2910 1.5849
0.3111 0.0289 4.5709 0.4045
0.2305 0.7493 2.1434 5.7678
0.4243 0.2721 3.5009 2.6094
0.7142 0.0958 9.0953 1.1316
0.3888 0.6929 6.9358 9.8553
0.7078 0.8088 6.6979 6.4595
0.6646 0.6621 15.4820 15.9204
0.0549 0.7990 0.1560 2.4769
0.7228 0.5521 6.5202 3.7135
0.1327 0.3675 1.8489 4.9565
0.6328 0.4699 5.3615 2.7744
0.7576 0.1668 15.5277 3.6841
0.0671 0.7925 0.4454 5.6901
0.0206 0.4947 0.4612 13.2417
0.0657 0.0467 1.3573 0.9517
0.3013 0.1266 3.0407 1.2299
0.9656 0.6473 0.9347 1.0985
0.0541 0.8506 0.5717 8.4890
0.3209 0.8667 1.7862 4.4148
0.5844 0.8516 2.3069 3.6172
0.3016 0.7818 3.1126 10.8958
0.1388 0.7619 1.9282 8.3875
0.9283 0.0537 1.4996 0.0574
0.1550 0.8558 0.4401 3.2299
0.4429 0.2959 4.6262 1.6815
0.6456 0.1410 0.0048 0.0401
0.3977 0.3090 0.0029 0.0878
0.2039 0.7244 0.0015 0.2058
0.2588 0.3995 3.2330 3.6481
0.4320 0.8965 4.1987 11.9971
0.5620 0.9637 6.7235 13.5769
0.3032 0.2417 5.9113 5.7585
0.8489 0.5303 21.0134 13.5991
0.0260 0.5762 0.0985 2.6533
0.7901 0.1068 7.6250 0.7369
0.0569 0.5858 0.8084 8.9729
0.5589 0.0425 9.9870 0.7051
0.6422 0.5524 1.9786 1.9767
0.0714 0.3792 0.1465 0.7530
0.6324 0.2063 11.2593 3.8592
1.0072 0.2788 10.1570 2.9913
0.1611 0.5566 1.3361 5.5355
0.0101 0.4651 0.1735 8.8975
0.4159 0.4317 0.3775 0.0789
0.7139 0.6092 9.6435 7.0366
0.2649 0.9539 1.9680 6.5774
0.5533 0.1803 10.8040 3.0401
0.6092 0.3057 9.1998 4.1758
0.2552 0.8958 4.7473 15.6410
0.3680 0.5166 3.7143 4.9156
0.4474 0.7260 0.4238 0.7395
0.5589 0.7785 2.9532 2.5487
0.8389 0.8374 12.0068 9.3590
0.1218 0.2195 0.8192 0.9014
0.3504 0.6666 3.7412 5.0050
0.6632 0.6902 6.3500 5.7082
0.7297 0.4538 6.2973 3.2424
0.2943 0.9767 2.1971 7.0567
