Inf_UN Inf_GT Sus_UN Sus_GT F_GT G_GT
0.6610 0.6727 0.2920 0.2870 10.3883 3.3621
0.2800 0.2851 0.0050 0.0050 2.8454 0.0487
0.0540 0.0550 0.1090 0.1072 1.0166 1.7995
0.3020 0.3074 0.7770 0.7637 3.8127 6.8275
0.1850 0.1882 0.4200 0.4128 0.8671 2.0756
0.2850 0.2900 0.7800 0.7667 2.6873 6.6573
0.3200 0.3257 0.5040 0.4954 3.6778 5.5294
0.7220 0.7346 0.8270 0.8126 3.0223 1.9095
0.9540 0.9706 0.2250 0.2211 6.2878 1.5701
0.3060 0.3115 0.0280 0.0276 4.5677 0.3860
0.2260 0.2300 0.7630 0.7499 2.1350 5.7675
0.4160 0.4233 0.2750 0.2704 3.4865 2.5919
0.7020 0.7144 0.0950 0.0934 9.0769 1.1039
0.3810 0.3879 0.7020 0.6901 6.9132 9.8105
0.6950 0.7072 0.8240 0.8099 6.6852 6.4560
0.6540 0.6656 0.6720 0.6606 15.4651 15.8787
0.0520 0.0529 0.8150 0.8010 0.1503 2.4743
0.7110 0.7236 0.5560 0.5466 6.5163 3.6752
0.1290 0.1313 0.3720 0.3657 1.8282 4.9201
0.6200 0.6309 0.4780 0.4698 5.3401 2.7714
0.7450 0.7582 0.1680 0.1652 15.5102 3.6454
0.0650 0.0661 0.8070 0.7933 0.4376 5.7023
0.0190 0.0193 0.5030 0.4945 0.4325 13.2193
0.0640 0.0652 0.0460 0.0453 1.3441 0.9177
0.2960 0.3012 0.1260 0.1239 3.0328 1.2038
0.9570 0.9728 0.6570 0.6454 0.9321 1.0959
0.0520 0.0529 0.8650 0.8504 0.5580 8.4545
0.3140 0.3195 0.8830 0.8679 1.7763 4.4159
0.5760 0.5861 0.8650 0.8501 2.3098 3.6062
0.2960 0.3012 0.7940 0.7806 3.0973 10.8929
0.1360 0.1384 0.7750 0.7618 1.9191 8.3715
0.9240 0.9396 0.0520 0.0511 1.5172 0.0546
0.1510 0.1536 0.8730 0.8579 0.4347 3.2353
0.4340 0.4417 0.2990 0.2939 4.6108 1.6693
0.4710 0.3907 0.1270 0.1243 0.0024 0.0356
0.4490 0.3724 0.3110 0.3045 0.0022 0.0871
0.2850 0.2364 0.7650 0.7490 0.0014 0.2142
0.2530 0.2575 0.4040 0.3971 3.2139 3.6178
0.4230 0.4304 0.9100 0.8945 4.1708 11.9556
0.5530 0.5628 0.9790 0.9624 6.7178 13.5474
0.2970 0.3023 0.2460 0.2418 5.8815 5.7549
0.8340 0.8487 0.5390 0.5299 20.9759 13.5682
0.0250 0.0254 0.5870 0.5770 0.0963 2.6527
0.7750 0.7886 0.1090 0.1072 7.6120 0.7383
0.0550 0.0560 0.5940 0.5840 0.7924 8.9433
0.5490 0.5587 0.0420 0.0413 9.9671 0.6836
0.6320 0.6429 0.5590 0.5494 1.9737 1.9599
0.0680 0.0692 0.3860 0.3793 0.1418 0.7504
0.6210 0.6320 0.2090 0.2055 11.2221 3.8423
0.9920 1.0094 0.2830 0.2782 10.1531 2.9803
0.1570 0.1598 0.5640 0.5544 1.3241 5.5170
0.0090 0.0092 0.4710 0.4630 0.1574 8.8529
0.4050 0.4117 0.4290 0.4193 0.3730 0.0764
0.7000 0.7123 0.6200 0.6095 9.6040 7.0215
0.2600 0.2646 0.9710 0.9544 1.9625 6.5776
0.5430 0.5526 0.1820 0.1789 10.7775 3.0157
0.5980 0.6086 0.3100 0.3047 9.1823 4.1593
0.2500 0.2545 0.9110 0.8956 4.7337 15.6291
0.3620 0.3684 0.5280 0.5190 3.7080 4.9379
0.4400 0.4473 0.7340 0.7207 0.4215 0.7355
0.5470 0.5568 0.7880 0.7743 2.9363 2.5311
0.8240 0.8385 0.8510 0.8365 11.9933 9.3389
0.1180 0.1201 0.2210 0.2172 0.8076 0.8917
0.3440 0.3501 0.6770 0.6653 3.7307 4.9908
0.6520 0.6636 0.7020 0.6899 6.3440 5.7002
0.7170 0.7296 0.4620 0.4541 6.2938 3.2382
0.2880 0.2932 0.9960 0.9791 2.1862 7.0656
0.2020 0.2056 0.6420 0.6310 1.6857 4.9903
0.3190 0.3247 0.9620 0.9457 4.7442 13.9346
0.9500 0.9668 0.3140 0.3087 11.4219 2.5933
0.2170 0.2208 0.6970 0.6851 1.5238 4.6650
0.1240 0.1262 0.8120 0.7982 2.2291 14.9822
0.5760 0.5862 0.6690 0.6577 5.9259 5.5179
0.1270 0.1293 0.4390 0.4316 1.3901 4.5213
0.3370 0.3429 0.8370 0.8226 1.9762 3.4869
0.5620 0.5720 0.1540 0.1514 13.5875 3.4973
0.9750 0.9920 0.7140 0.7017 3.7625 2.4140
0.6770 0.6889 0.5300 0.5211 3.5278 2.9521
0.0400 0.0407 0.1770 0.1740 0.2532 0.9940
0.5070 0.5161 0.0650 0.0640 6.4764 0.8546
0.7770 0.7907 0.3610 0.3548 9.4351 3.9515
0.0620 0.0631 0.9630 0.9467 0.7074 9.4201
0.3060 0.3113 0.0300 0.0295 1.1582 0.0811
0.9560 0.9727 0.0350 0.0344 7.0142 0.2532
0.2520 0.2564 0.3890 0.3824 2.7007 4.5540
0.0720 0.0733 0.9400 0.9237 0.4426 3.2825
0.4490 0.4568 0.3120 0.3065 1.5984 0.5320
0.8970 0.9126 0.7850 0.7715 3.8544 4.7657
0.2300 0.2339 0.6260 0.6153 0.5897 2.3456
0.5230 0.5323 0.3460 0.3401 5.6385 3.4752
0.4870 0.4956 0.8690 0.8541 2.8908 4.5579
0.1950 0.1988 0.1680 0.1655 0.9730 1.2316
0.9560 0.9730 0.3730 0.3670 7.9090 3.4931
0.2540 0.2586 0.1840 0.1809 3.2337 2.1434
0.0280 0.0285 0.9340 0.9175 0.0756 1.3394
0.4620 0.4701 0.3060 0.3006 1.6928 0.6328
0.8420 0.8560 0.1260 0.1235 0.8479 0.0427
0.1000 0.1019 0.4040 0.3975 0.2684 1.4330
0.0680 0.0691 0.5630 0.5532 0.1038 1.2082
0.2680 0.2725 0.5630 0.5530 0.3739 0.8242
0.5580 0.5679 0.4880 0.4799 3.3117 2.6474
0.0920 0.0936 0.8220 0.8077 0.2115 1.4952
0.7590 0.7723 0.1690 0.1661 1.9825 0.5756
0.2950 0.3002 0.7140 0.7019 2.3025 6.9536
0.6830 0.6951 0.8870 0.8720 23.7868 29.4644
0.1170 0.1191 0.5790 0.5692 1.8059 8.4499
0.6800 0.6920 0.4760 0.4680 5.1449 4.0931
0.0350 0.0356 0.1480 0.1455 0.0745 0.5735
0.2950 0.2958 0.8580 0.8409 0.0218 0.3175
0.3860 0.3928 0.8420 0.8275 1.9122 3.9566
0.4550 0.4462 0.1860 0.1822 0.0127 0.0569
0.3510 0.3572 0.2570 0.2527 3.0913 1.8897
0.1210 0.1231 0.4400 0.4325 0.8217 2.7108
0.5770 0.5871 0.2460 0.2418 1.9907 0.7535
0.5090 0.5179 0.7330 0.7207 2.6585 3.2113
0.8010 0.8152 0.8940 0.8789 13.6306 16.4898
0.6790 0.6910 0.7580 0.7451 4.5934 7.1608
0.7020 0.7145 0.9120 0.8966 3.1955 4.6001
0.5230 0.5322 0.5030 0.4944 2.1448 2.2087
0.7290 0.7420 0.1430 0.1406 12.3813 1.6933
0.0840 0.0855 0.4350 0.4275 0.4641 1.7683
0.3860 0.3928 0.3950 0.3883 2.7333 1.9264
0.2530 0.2573 0.5960 0.5854 0.3547 0.7992
0.5070 0.5160 0.6770 0.6655 4.9625 5.1554
0.2920 0.2971 0.4370 0.4296 1.4761 2.1356
0.2410 0.2450 0.1120 0.1101 0.1439 0.1739
0.5920 0.6024 0.6140 0.6035 4.0664 4.6965
0.2720 0.2768 0.4600 0.4522 4.3400 6.6350
0.1820 0.1852 0.9500 0.9337 0.7964 3.6727
0.2020 0.2056 0.1800 0.1769 1.0946 0.9781
